學年度,學期,課程大類,標籤描述,課程名稱,科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
111,1,系所,🎓 專題/論文,動作技能學習專題研究,外校大學課程,進修部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,質性研究,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,程式設計,外校大學課程,進修部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,組織行為,外校大學課程,進修部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,行銷管理,外校大學課程,進修部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,地理資訊系統,外校大學課程,進修部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,西洋上古史,外校大學課程,進修部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,體育,🎓 專題/論文,體育原理,外校大學課程,進修部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,商業智慧研討,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,品德與專業倫理,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,電路學(一),外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,微處理機與實習,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,幸福入門－正向心理學,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,普通生物學,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,語言教學技巧,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,能源工程特論,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,運動生物力學實驗,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,高等應用統計學,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,動作技能學習專題研究,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,體操(一)女,外校大學課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,表達性藝術治療研究,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,教育哲學,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,策略管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,英語教學理論與實務,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,勞工保險法,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,英美法導論,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,論文指導,公共事務夜碩三,,4.0,論文,0,0,,0.0,1.0,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78057_1SPPCE146340.pdf
111,1,系所,🎓 專題/論文,比較政治理論專題研究,公共事務與公民教育學系,社會科學暨體育學院,3.0,劉兆隆,2,2,公研A,0.3,2.333333333,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/78056_1SPPC2150830.pdf
