學年度,學期,分類,學制,cluster標籤,課程名稱,英文課程名稱,開課班別(代表),科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
112,2,專業課程,碩博士班,熱門課程,運動管理與實務專題研究,Seminar of Sport Management,運碩一,運動學系,社會科學暨體育學院,3,張家昌,5,2,體育教室四,0.25,1,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71053_1SPAS2004130.pdf
112,2,專業課程,碩博士班,一般課程,運動時勢議題專題研究,Trends and developments in Sports,運碩一,運動學系,社會科學暨體育學院,3,楊忠和,4,7,體育教室二,0.35,1,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71052_1SPAS2003930.pdf
112,2,專業課程,碩博士班,一般課程,運動與健康科學專題研究,Scientific Topics of Exercise and Health,運碩一,運動學系,社會科學暨體育學院,3,曾文培,3,5,體育教室一,0.25,1.4,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71051_1SPAS2006430.pdf
112,2,專業課程,碩博士班,熱門課程,應用運動訓練專題研究,Special Topics on Practices of Athete Training,運碩一,運動學系,社會科學暨體育學院,3,江勁彥,3,2,社會科學討論室,0,1,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71050_1SPPE2137430.pdf
112,2,專業課程,碩博士班,一般課程,應用運動生理與訓練專題研究,Advanced Study on Applied Exercise Physiology and Athlete Training,運碩一,運動學系,社會科學暨體育學院,3,蔡忠昌,3,6,體育教室二,0.3,1,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71049_1SPAS2003530.pdf
112,2,專業課程,碩博士班,專題/論文,運動統計與實驗設計,Statistics and Experimental Design in Sport,運碩一,運動學系,社會科學暨體育學院,3,陳怡汶,2,2,體育教室四,0.7,1.071428571,0,1,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71048_1SPAS2001130.pdf
112,2,專業課程,學士班,一般課程,運動防護實習(二),Practice in Athletic Training II,運四,運動學系,社會科學暨體育學院,1,王信民陳怡汶,5,10,體育教室四,0.2,1.0625,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71047_1SPPE0141110.pdf
112,2,專業課程,學士班,熱門課程,體育課程設計,Physical Education Curriculum Design,運四,運動學系,社會科學暨體育學院,3,陳怡汶,4,2,體育教室四,0.5875,1.127659574,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71046_1SPPE0123230.pdf
112,2,專業課程,學士班,熱門課程,運動專長訓練,Specific Sports Training,運四,運動學系,社會科學暨體育學院,1,邱金治劉元凱,3,5,體育教室四,0.575,1.108695652,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71045_1SPPE0006610.pdf
112,2,專業課程,學士班,熱門課程,運動心理技能訓練,Psychological Skills Training for Sports,運四,運動學系,社會科學暨體育學院,3,陳珍德,2,5,體育教室四,0.2,1.3125,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71043_1SPPE0138330.pdf
112,2,專業課程,學士班,熱門課程,體育科教學應用與實作,Physical Education Teaching Application and Practice,運四,運動學系,社會科學暨體育學院,2,蘇泰源,1,5,體育教室四,0.3875,1.35483871,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71042_1SPPE0140920.pdf
112,2,專業課程,學士班,熱門課程,運動貼紮實務,Athletic Taping,運三,運動學系,社會科學暨體育學院,3,王信民,5,5,體育教室三,0.3375,1.185185185,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71041_1SPPE0120630.pdf
112,2,專業課程,學士班,熱門課程,運動營養學,Sports Nutrition,運三,運動學系,社會科學暨體育學院,2,蔡忠昌,4,7,體育教室三,0.35,1.464285714,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71040_1SPPE0141820.pdf
112,2,專業課程,學士班,熱門課程,高爾夫球(一),Golf I,運三,運動學系,社會科學暨體育學院,1,楊忠和,4,5,體育教室三,0.5875,1.446808511,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71039_1SPPE0013610.pdf
112,2,專業課程,學士班,熱門課程,運動競賽活動計畫與實習,Planning and Practice in Sport Competition,運三,運動學系,社會科學暨體育學院,3,張家昌,4,2,體育教室三,0.2875,1.304347826,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71038_1SPPE0119830.pdf
112,2,專業課程,學士班,熱門課程,運動專長訓練,Specific Sports Training,運三,運動學系,社會科學暨體育學院,1,劉羿德張家昌,3,7,體育教室三,0.5875,1.14893617,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71037_1SPPE0006610.pdf
112,2,專業課程,學士班,熱門課程,運動統計學,Sport Statistics,運三,運動學系,社會科學暨體育學院,3,陳珍德,3,2,體育教室三,0.7,1.107142857,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71036_1SPPE0115430.pdf
112,2,專業課程,學士班,一般課程,特殊體育,Physical Education for the Handicapped,運三,運動學系,社會科學暨體育學院,3,游晴惠,2,7,體育教室三,0.6875,1.109090909,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71035_1SPPE0115530.pdf
112,2,專業課程,學士班,熱門課程,有氧舞蹈(一),Aerobic Dance I,運三,運動學系,社會科學暨體育學院,1,鍾孟玲,2,5,韻律教室,0.55,1.25,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/71034_1SPPE0126610.pdf
