序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
239,71014,運二,舞蹈(二)Dancing II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71014_1SPPE0013210.pdf,組必修,,否,1,鍾孟玲,體育館,(一) 03-04 韻律教室,80,23,24,限本系,
240,71013,運二,棒壘球(二)Baseball and Softball II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71013_1SPPE0012910.pdf,組必修,,否,1,陳威成,體育館,(一) 01-02 棒壘場,80,39,44,限本系,
241,71012,運一,運動健康導論Introduction to Sports and Health,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71012_1SPPE0141520.pdf,組必修,,否,2,陳怡汶,體育館,(五) 05-06 體育教室一,80,32,34,限本系,
242,71011,運一,運動生理學Exercise Physiology,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71011_1SPPE0114830.pdf,系必修,,否,3,蔡忠昌,體育館,(五) 02-04 體育教室一,80,59,68,限本系,
243,71010,運一,游泳(二)Swimming II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71010_1SPPE0011510.pdf,系必修,,否,1,林璇,體育館,(四) 07-08 體育教室一,80,49,54,限本班,
244,71009,運一,人體解剖學Human Anatomy,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71009_1SPPE0141930.pdf,組必修,,否,3,王信民,體育館,(四) 02-04 體育教室一,80,31,26,限本系,
245,71008,運一,運動專長訓練Specific Sports Training,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71008_1SPPE0006610.pdf,系必修,,否,1,蘇泰源陳怡汶,體育館,(三) 11-12 體育教室三,80,55,57,限本系,
246,71007,運一,田徑(二)Track and Field II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71007_1SPPE0011010.pdf,系必修,,否,1,劉元凱,體育館,(三) 03-04 體育教室一,80,58,61,限本系,
247,71006,運一,網球(二)Tennis II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71006_1SPPE0011710.pdf,組必修,,否,1,江勁彥,體育館,(二) 08-09 網球場,80,46,43,限本系,
248,71005,運一,運動資料處理與軟體應用Sports data processing and sofware application,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71005_1SPPE0121830.pdf,系選修,,否,3,江勁彥,圖書館,(二) 05-07 電三教室,80,17,14,限本系,
249,71004,運一,體操(二)Gymnastics II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71004_1SPPE0012010.pdf,系必修,,否,1,小椋美緒,體育館,(一) 07-08 體操教室,80,53,58,限本系,
250,71003,運一,運動防護管理學Management of Athletic Training,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71003_1SPPE0141320.pdf,組必修,,否,2,王信民,體育館,(一) 05-06 體育教室一,80,37,28,限本系,
251,71002,運一,體育史History of Physical Education,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71002_1SPPE0120230.pdf,系選修,,否,3,李華彥,體育館,(一) 02-04 體育教室一,80,23,24,限本系,
252,71001,運一,人工智慧及其應用Artificial Intelligence and Its Application,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/71001_0CCGE0181420.pdf,校必(通識),,否,2,陳怡汶,圖書館,(四) 05-06 電一教室,50,0,61,限本班,大二~大四生如要修習，以線上加簽方式
253,67068,財金博二,金融大數據與資料探勘專題研究Topic Studies in Financial Big Data Analysis and Data Mining,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67068_1MABE1190230.pdf,組選修,,否,3,林逸程梁亦鴻,經世館,(一) 02-04 32410-二館,20,0,3,限本系,
254,67067,財金博二,資產評價專題研究Topic Studies in Valuation of Financial Assets,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67067_1MABE1190030.pdf,組選修,,否,3,吳明政張振山,經世館,(四) 05-07 32606,20,0,17,限本系,(財金組)
255,67066,財金博二,論文Thesis,無檔案No file,,系必修,,否,0,論文,,,20,7,40,限本系,
256,67065,財金博二,論文指導(二)Thesis Supervision II,無檔案No file,,系必修,,否,3,論文,,,20,6,10,限本系,
257,67064,財金碩二,論文指導(二)Thesis Supervision II,無檔案No file,,系必修,,否,3,論文,,,40,23,31,可跨班系,
258,67063,財金碩二,論文Thesis,無檔案No file,,系必修,,否,0,論文,,,40,24,35,可跨班系,
259,67062,財金三,商業溝通Business Communication,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67062_1MABE0010830.pdf,系必修,,否,3,林宸諒,經世館,(五) 02-04 32410-二館,50,45,50,限本系,
260,67061,財金博二,財金科技與物聯網競爭策略專題研究Special Topics on Competitive Strategy toward Financial Technology and Internet of Things,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67061_1MABE1186730.pdf,組選修,,否,3,王信文,經世館,(二) 02-04 32404,20,2,2,限本系,(管理組)
261,67060,財金博二,大數據專題研討Seminar on Big Data Research,無檔案Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67060_1MABE1183630_EN.pdf,組選修,,否,3,黃憲彰,經世館,(六) 05-07 32205,20,3,3,限本系,(管理組)；雙週上課
262,67059,財金博一,管理專題研討(一)Seminar on Management Topics (I),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67059_1MABE1187130.pdf,組選修,,否,3,葉凱莉,經世館,(三) 02-04 32405,20,4,5,可跨班系,(管理組)
263,67058,財金博一,專案管理專題Topics on Project Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67058_1MABE1185630.pdf,組選修,,否,3,王怡舜,教學二館,(三) 02-04 34202,20,0,7,限本系,(管理組)
264,67057,財金博一,策略管理專題研究Research on Strategic Management Topics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67057_1MABE1186630.pdf,組選修,,否,3,邱垂昌,經世館,(二) 05-07 32309-1,20,9,10,可跨班系,(管理組)
265,67056,財金博一,高等心理學實驗專題研討Seminar on Advanced Psychology experiment Research,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/67056_1MABE1184530.pdf,組選修,,否,3,鄭國枝,經世館,(四) 08-10 32309-1,20,5,7,可跨班系,(管理組)
